City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,malango,-2.9627,119.9001,297.28,95,91,1.78,ID,1714541439
138,mejit,10.2753,170.8646,300.84,80,91,8.61,MH,1714541439
139,baidoa,3.1138,43.6498,300.31,70,92,5.63,SO,1714541440
140,thompson,55.7435,-97.8558,277.24,70,100,5.14,CA,1714541440
141,vilyuchinsk,52.9306,158.4028,279.3,60,95,3.88,RU,1714541441
142,crane,31.3974,-102.3501,295.48,63,5,9.1,US,1714541441
143,port elizabeth,-33.918,25.5701,288.32,78,0,2.06,ZA,1714541441
144,karratha,-20.7377,116.8463,305.52,19,0,8.02,AU,1714541247
145,longyearbyen,78.2186,15.6401,275.06,69,75,2.57,SJ,1714541442
146,blackwater,-23.5833,148.8833,301.65,29,31,5.98,AU,1714541443
147,lodeynoye pole,60.726,33.5531,279.27,79,82,2.21,RU,1714541443
148,sur,22.5667,59.5289,306.2,41,23,2.64,OM,1714541238
149,thandla,23.0,74.5667,308.8,7,3,3.49,IN,1714541444
150,hamilton,39.1834,-84.5333,288.37,85,0,0.0,US,1714541303
151,north bend,43.4065,-124.2243,281.52,84,12,1.05,US,1714541445
152,port saint john's,-31.6229,29.5448,293.61,82,54,2.87,ZA,1714541218
153,kone,-21.0595,164.8658,297.48,65,61,1.02,NC,1714541446
154,amuntai,-2.4177,115.2494,308.63,46,65,1.7,ID,1714541446
155,newman,37.3138,-121.0208,289.95,62,7,1.34,US,1714541101
156,dauphin,51.1494,-100.0502,277.23,75,20,2.57,CA,1714541447
157,smithers,54.7804,-127.1743,277.33,100,100,1.54,CA,1714541186
158,hawaiian paradise park,19.5933,-154.9731,296.88,89,100,2.57,US,1714541170
159,ciudad melchor muzquiz,27.8833,-101.5167,301.14,76,81,5.01,MX,1714541449
160,cestos city,5.46,-9.5828,300.11,86,99,2.71,LR,1714541450
161,upington,-28.4478,21.2561,289.36,48,0,1.03,ZA,1714541338
162,port lincoln,-34.7333,135.8667,288.79,62,99,6.79,AU,1714541209
163,laminusa,5.5549,120.9136,301.33,81,86,4.11,PH,1714541451
164,chauk,20.8833,94.8167,315.38,20,0,5.42,MM,1714541452
165,fort bragg,35.139,-79.006,295.06,82,100,3.09,US,1714541452
166,yarmouth,41.7057,-70.2286,282.67,79,100,4.12,US,1714541453
167,havre,49.5833,0.3333,284.45,100,77,1.03,FR,1714541453
168,nabire,-3.3667,135.4833,303.21,72,87,2.06,ID,1714541453
169,kibungo,-2.1597,30.5427,292.66,90,76,1.37,RW,1714541454
170,katsuura,35.1333,140.3,290.16,94,100,11.97,JP,1714541348
171,wynyard,-41.0,145.7167,287.57,61,15,2.74,AU,1714541455
172,marsh harbour,26.5412,-77.0636,296.33,78,43,7.09,BS,1714541456
173,moires,35.0532,24.8744,292.66,62,57,2.68,GR,1714541456
174,pauini,-7.7136,-66.9764,296.41,94,20,0.79,BR,1714541457
175,ilave,-16.0833,-69.6667,280.85,80,80,1.09,PE,1714541457
176,saint-francois,46.4154,3.9054,284.62,100,100,0.0,FR,1714541251
177,hodal,27.9,77.3667,306.98,9,0,5.12,IN,1714541458
178,tehran,35.6944,51.4215,297.14,13,75,3.09,IR,1714541429
179,luderitz,-26.6481,15.1594,291.33,61,0,3.51,NA,1714541291
180,caleta de carquin,-11.0925,-77.6267,293.0,88,60,4.07,PE,1714541269
181,progreso,21.2833,-89.6667,301.21,78,10,3.79,MX,1714541460
182,burutu,5.3509,5.5076,301.08,86,100,3.55,NG,1714541259
183,hadibu,12.65,54.0333,302.04,74,100,3.47,YE,1714541461
184,beau vallon,-20.4189,57.6953,300.49,65,75,4.12,MU,1714541377
185,ust-nera,64.5667,143.2,273.01,79,98,2.43,RU,1714541461
186,odesskoye,54.2111,72.9651,280.89,31,3,3.38,RU,1714541462
187,papatowai,-46.5619,169.4708,279.79,71,43,3.21,NZ,1714541462
188,magistral'nyy,56.1725,107.4458,273.91,56,95,3.09,RU,1714541463
189,taseyevo,57.2169,94.8978,276.67,36,85,2.24,RU,1714541463
190,urengoy,65.9667,78.3667,264.8,81,98,4.41,RU,1714541464
191,dunedin,-45.8742,170.5036,280.82,93,100,0.89,NZ,1714541323
192,chunskiy,56.0815,99.6342,274.64,38,100,2.84,RU,1714541465
193,san patricio,28.017,-97.5169,298.62,91,60,4.86,US,1714541306
194,nova sintra,14.8667,-24.7167,296.59,80,8,9.2,CV,1714541212
195,arteche,12.2645,125.4048,302.89,63,100,3.29,PH,1714541466
